math score,reading score,writing score,placement score,club join year,placement offer count
67,90,68,90,2018,3
76,86,64,91,2018,3
66,80,77,89,2018,3
72,83,60,84,2020,2
50,,55,88,2018,3
64,91,67,99,2021,3
62,95,73,97,2021,3
73,80,73,83,,2
74,95,78,100,2020,3
64,84,80,93,2018,3
69,93,71,92,2018,3
,96,73,81,2018,1
60,75,61,82,2021,2
73,75,,78,2021,2
69,80,73,89,2020,3
63,91,69,89,2018,3
74,91,90,89,2018,3
,83,68,75,,2
76,92,65,95,2019,3
76,78,67,81,2020,1
94,89,59,99,2020,3
79,,70,97,2018,3
61,89,78,94,2018,3
66,77,79,79,2019,2
73,79,70,92,2019,3
78,82,67,91,2019,3
,75,73,78,2018,2
75,79,74,76,2019,2
,94,72,99,2020,3
64,81,69,77,,2
